"speaker","time","text"
"Customer","0:00"," [RINGTONE]"
"Agent","0:10"," hello"
"Customer","0:11"," hello haan"
"Agent","0:12"," very good morning gopi"
"Customer","0:14"," good evening"
"Agent","0:14"," ji se baat ho rahi hai"
"Customer","0:16"," sir"
"Agent","0:17"," main bhavishya pal baat kar raha hoon policybazaar dot com se kaise hai aap"
"Customer","0:21"," kya hai aap"
"Agent","0:22"," main bhavishya pal baat kar raha hoon policybazaar dot com se"
"Customer","0:25"," haan wo to bataiye sir"
"Agent","0:27"," aapka ek visit aaya hua tha policybazaar ki website pe savings aur"
"Customer","0:30"," haan"
"Agent","0:30"," investment plans ko lekar aap kuch"
"Customer","0:33"," dekh"
"Agent","0:33"," s i p aur saving plans"
"Customer","0:34"," just main dekh"
"Agent","0:35"," basically"
"Customer","0:35"," raha"
"Agent","0:35"," apne"
"Customer","0:35"," tha sir"
"Agent","0:35"," liye"
"Customer","0:35"," wo"
"Agent","0:35"," sir"
"Customer","0:37"," kaisa"
"Agent","0:37"," ji gopi sir"
"Customer","0:38"," hai kya hai sir"
"Agent","0:41"," haan ji"
"Customer","0:43"," just dekh raha tha sir woh kaisa hai kya hai aisa phone karta hoon"
"Agent","0:46"," achcha aur waise abhi karte kya hai aap by profession"
"Customer","0:49"," ek duty karta hoon sir"
"Agent","0:52"," job karte hai aur"
"Customer","0:53"," haan"
"Agent","0:53"," aur"
"Customer","0:53"," yeah"
"Agent","0:54"," nahi basically sir jaise aap matlab obvious si baat hai abhi age jaan sakta hoon mai waise age kya hai abhi aapki"
"Customer","0:59"," sir contact"
"Agent","1:02"," twenty"
"Customer","1:03"," haan contact kar do haan"
"Agent","1:04"," achcha achcha toh basically koi investment ya savings wagairah kari hai pehle se ya suna ho unke"
"Customer","1:09"," haan"
"Agent","1:09"," baare mein kya hoti hoti hai kya karni chahiye"
"Customer","1:11"," sir just mai dekh raha tha mai mai aap aapke paas number aa gaya wo mujhe nahi bola"
"Agent","1:16"," nahi nahi basically agar mai baat karun jaise aap dekh rahe thay na toh wahi cheez"
"Customer","1:19"," haan"
"Agent","1:19"," hai ki aaj ki date mein jo aap cheez dekh rahe thay maine usi ke discussion ke liye aapko call kiya hai isi ki"
"Customer","1:23"," haan"
"Agent","1:24"," uski jo importance hai mai aapko wo cheez bata pa raha hoon kyunki dekhiye"
"Customer","1:27"," haan"
"Agent","1:27"," aaj ki ki date mein jaise canara h s b c aapne dekha hoga ki ek canara h s b c market ke andar ek fund launch karne ja raha hai theek hai bees taareekh mein ab uss fund ki agar main past performance ki baat karun nifty alpha fifty index jo hai pichhle"
"Customer","1:40"," haan"
"Agent","1:40"," paanch"
"Customer","1:41"," haan"
"Agent","1:41"," saalo mein ikattis percent se upar ka byaj dar usne already provide karwaya hai thirty one point seven percent average return last five years"
"Customer","1:50"," haan"
"Agent","1:50"," ka"
"Customer","1:50"," haan"
"Agent","1:50"," aur"
"Customer","1:50"," haan"
"Agent","1:51"," main pichle"
"Customer","1:51"," haan"
"Agent","1:51"," dus"
"Customer","1:51"," haan"
"Agent","1:51"," saalo ke average return ki bhi baat karta hoon na to wo bhi above twenty one percent ka average return hai sir aur"
"Customer","1:58"," haan haan"
"Agent","1:59"," khud soch ke dekhiye agar itne returns aapko mile toh ya aap apne paise pe ek achchi growth le payenge ya nahi le"
"Customer","2:07"," haan"
"Agent","2:07"," payenge"
"Customer","2:07"," le"
"Agent","2:07"," hai"
"Customer","2:07"," paata hoon sir"
"Agent","2:08"," na toh abhi jo aap investment ya savings karte hai gopi ji matlab market"
"Customer","2:12"," haan"
"Agent","2:12"," mein karte hai traditional investment ke andar karte hai kis jagah pe karte hai sir kaun"
"Customer","2:16"," main normal dhan platform par karta hoon sir study"
"Agent","2:19"," se pe dhan"
"Customer","2:21"," dhan dhan haan"
"Agent","2:23"," okay"
"Customer","2:24"," dhan"
"Agent","2:25"," okay aur waise matlab aapne jaise bataya job karte hai kis department mein kis sector mein job karte hai abhi aap achcha"
"Customer","2:31"," mai pack inspection mein ja raha m r p manufacturing company"
"Agent","2:35"," manufacturing company hai okay call aage proceed karne se se pehle ek baar mai aapko apne baare mein bhi bata deta hoon mera"
"Customer","2:41"," haan"
"Agent","2:41"," jo poora naam hai bhavishya paal hai employee i d hai mera p w four two six five seven aur yeh jo discussion hai humara wo recorded line par hai for quality aur training purpose theek hai ab"
"Customer","2:52"," haan"
"Agent","2:52"," dekhiye"
"Customer","2:52"," haan"
"Agent","2:53"," jaise dhan dhan application se aap karte hai aapko shayad pata hoga wahan par aap jo invest pe apna corpus create karte hai na wo aapka taxable rehta hai uske upar aapko tax pay karne padhte hai government ko jab us paise ko aap withdraw karte hai correct"
"Customer","3:05"," haan haan"
"Agent","3:06"," but"
"Customer","3:06"," sir sir cash de rahe hai haan"
"Agent","3:07"," policybazaar dot dot com ka naam suna hai pehle aapne kabhi"
"Customer","3:10"," haan nahi sir"
"Agent","3:12"," nahi tv wagairah mein add dekha hoga policy"
"Customer","3:13"," haan"
"Agent","3:13"," bazaar"
"Customer","3:13"," haan terah"
"Agent","3:14"," ke baare"
"Customer","3:14"," hazaar"
"Agent","3:14"," mein"
"Customer","3:14"," tak"
"Agent","3:14"," hai"
"Customer","3:14"," haan"
"Agent","3:15"," na toh yahan par jitni bhi investment aap karte hai na aur uske upar jo maturity value banate hai wo aapka hundred percent tax free rehta hai sir uske upar aapko kabhi kisi ko koi tax nahi pe karna jitna bhi paisa aap laga rahe hai jitna bhi paisa aap bana rahe hai wo paisa aapka hundred percent tax free hai ji"
"Customer","3:34"," haan haan"
"Agent","3:35"," toh wo aapke liye zyada beneficial rahega waise monthly income kya ho jaati hai aapki ji"
"Customer","3:41"," nahi woh nine hundred sir bataiye"
"Agent","3:45"," nahi waise monthly income kya ho jaati hai aapki abhi"
"Customer","3:47"," fifteen thousand tak ho jaata hai sir haan"
"Agent","3:49"," kitna sorry"
"Customer","3:51"," fifteen fifteen thousand tak"
"Agent","3:53"," fifteen thousand koi loan koi liabilities"
"Customer","3:55"," haan"
"Agent","3:55"," wagairah aapke upar"
"Customer","3:56"," nahi"
"Agent","3:56"," koi"
"Customer","3:56"," sir nahi nahi"
"Agent","3:58"," loan liabilities abhi waise kahan se aap"
"Customer","3:59"," haan"
"Agent","3:59"," baat kar rahe hai gopi sir hyderabad"
"Customer","4:01"," hyderabad"
"Agent","4:03"," se hyderabad mein area pin code kya padta hai apna nahi"
"Customer","4:06"," hai idhar uppal mein rehta hoon sir mai toh five lakh thirty"
"Agent","4:10"," nahi matlab five lakh thirteen"
"Customer","4:13"," haan"
"Agent","4:14"," okay nahi jaise jaise aap abhi hyderabad se baat kar rahe hai toh hyderabad mein na humare jo advisor hai"
"Customer","4:19"," haan"
"Agent","4:20"," aapne samne baith kar bhi discussion ho sakta hai kyunki dekhiye jaise dhan wagairah ke aap use karte hai grow ya zerodha wagairah use karte hai unke andar to aisi services available nahi hoti ki koi particular vyakti koi individual r m relationship manager aapne samne baith kar aapko saari cheezon ke baare mein bataya aur samjhaye correct kyunki agar koi bhi"
"Customer","4:38"," haan"
"Agent","4:38"," person aapke aamne samne baith kar aapko saari cheezon ko batayega samjhayega to wo wo aapko zyada better tarike se samajh aayengi as comparison ho ke koi cheez aap online dekh rahe hai correct na"
"Customer","4:47"," haan correct sir aap bata rahe hai"
