"speaker","time","text"
"Customer","0:00"," [RINGTONE]"
"Agent","0:14"," hello chaitanya"
"Customer","0:17"," yes"
"Agent","0:17"," chaitanya this is anupam ahuja i'm calling you from policybazaar dot com how are you very"
"Customer","0:23"," yeah i'm good"
"Agent","0:25"," well you paid a visit on our website policybazaar dot com and you are looking for an"
"Customer","0:30"," yes"
"Agent","0:30"," investment plan for yourself"
"Customer","0:31"," no"
"Agent","0:32"," is this a good time"
"Customer","0:33"," no"
"Agent","0:33"," talk"
"Customer","0:33"," no"
"Agent","0:33"," to you"
"Customer","0:33"," there is"
"Agent","0:33"," chaitanya"
"Customer","0:35"," yeah i login but i checked the my existing one"
"Agent","0:39"," hdfc one you"
"Customer","0:40"," yeah i already invested invested"
"Agent","0:42"," have already invested in h d f c"
"Customer","0:44"," no no no i already invested in the icici proof signature just i want to see the performance of that one"
"Agent","0:51"," you have purchase from"
"Customer","0:52"," that's"
"Agent","0:52"," policybazaar"
"Customer","0:54"," yes yes policybazaar only with the different number"
"Agent","0:57"," different"
"Customer","0:57"," because"
"Agent","0:57"," number"
"Customer","0:58"," i came yeah because i came singapore recently only i think six months back only right"
"Agent","1:03"," okay"
"Customer","1:03"," okay"
"Agent","1:04"," actually a very good opportunities"
"Customer","1:05"," yeah"
"Agent","1:05"," available in canada h s b c and that is is why we are calling you yes so is this a good time"
"Customer","1:13"," is"
"Agent","1:13"," to understand a new plan also yes"
"Customer","1:17"," the investment plan only right"
"Agent","1:19"," investment plan only"
"Customer","1:21"," okay no"
"Agent","1:22"," so currently you are looking to invest how much do you have a figure in your mind you can go for a lower amount also sir how"
"Customer","1:28"," no"
"Agent","1:29"," much"
"Customer","1:29"," actually"
"Agent","1:29"," your your"
"Customer","1:29"," i i i invested in the icici proof next year so i invested monthly five thousand"
"Agent","1:37"," okay right"
"Customer","1:37"," but"
"Agent","1:37"," now you"
"Customer","1:38"," i don't"
"Agent","1:38"," are looking to invest for"
"Customer","1:39"," no"
"Agent","1:39"," your child also sir"
"Customer","1:42"," no no no no no i just for three years so in any difference for the child one second"
"Agent","1:48"," you are you are not looking for an additional investment sir"
"Customer","1:52"," if it is good may be i am looking for the new plan but what i am deciding is so i want to switch my existing one because whatever i invested previous is icici prudential is not performing good"
"Agent","2:06"," okay sir"
"Customer","2:06"," so"
"Agent","2:07"," basically it was down and that is why performance was is also down now market have started"
"Customer","2:12"," no"
"Agent","2:12"," to put"
"Customer","2:13"," no no no no i am i am not asking about the last best on the last two months but what i say last two years i don't see any progress that fund because i invested almost three years back but still my returns is around fourteen k only as of now"
"Agent","2:29"," okay got it sir"
"Customer","2:30"," so"
"Agent","2:31"," so"
"Customer","2:31"," i"
"Agent","2:31"," right now"
